name,season,age,state,elim,is_censored,is_male
Sonja Christopher,Borneo,63,CA,3,0,0
B.B. Andersen,Borneo,64,KS,6,0,1
Stacey Stillman,Borneo,27,CA,9,0,0
Ramona Gray,Borneo,29,NJ,12,0,0
Dirk Been,Borneo,23,WI,15,0,1
Joel Klug,Borneo,27,AR,18,0,1
Gretchen Cordy,Borneo,38,TN,21,0,0
Greg Buis,Borneo,24,CO,24,0,1
Jenna Lewis,Borneo,22,NH,27,0,0
Gervase Peterson,Borneo,30,NJ,30,0,1
Colleen Haskell,Borneo,23,FL,33,0,0
Sean Kenniff,Borneo,30,NY,36,0,1
Susan Hawk,Borneo,38,WI,37,0,0
Rudy Boesch,Borneo,72,VA,38,0,1
Kelly Wiglesworth,Borneo,22,NV,39,1,0
Richard Hatch,Borneo,39,RI,39,1,1
Debb Eaton,The Australian Outback,45,NH,3,0,0
Kel Gleason,The Australian Outback,32,TX,6,0,1
Maralyn Hershey,The Australian Outback,51,VA,9,0,0
Mitchell Olson,The Australian Outback,23,NJ,12,0,1
Kimmi Kappenberg,The Australian Outback,27,NY,15,0,0
Michael Skupin,The Australian Outback,38,MI,17,1,1
Jeff Varner,The Australian Outback,34,NY,21,0,1
Alicia Calaway,The Australian Outback,32,NY,24,0,0
Jerri Manthey,The Australian Outback,30,CA,27,0,0
Nick Brown,The Australian Outback,23,WA,30,0,1
Amber Brkich,The Australian Outback,22,PA,33,0,0
Rodger Bingham,The Australian Outback,53,KY,36,0,1
Elisabeth Filarski,The Australian Outback,23,MA,39,0,0
Keith Famie,The Australian Outback,40,MI,41,0,1
Colby Donaldson,The Australian Outback,26,TX,42,1,1
Tina Wesson,The Australian Outback,39,TN,42,1,0
Diane Ogden,Africa,42,NE,3,0,0
Jessie Camacho,Africa,27,FL,6,0,0
Carl Bilancione,Africa,46,FL,9,0,1
Linda Spencer,Africa,44,MA,12,0,0
Silas Gaither,Africa,23,TN,15,0,1
Lindsey Richter,Africa,26,OR,18,0,0
Clarence Black,Africa,24,MI,21,0,1
Kelly Goldsmith,Africa,22,CA,24,0,0
Brandon Quinton,Africa,25,TX,27,0,1
Frank Garrison,Africa,43,NY,30,0,1
Kim Powers,Africa,29,PA,33,0,0
Teresa Cooper,Africa,42,GA,36,0,0
Tom Buchanan,Africa,45,VA,37,0,1
Lex van den Berghe,Africa,38,CA,38,0,1
Kim Johnson,Africa,56,NY,39,1,0
Ethan Zohn,Africa,27,MA,39,1,1
Peter Harkey,Marquesas,44,MA,3,0,1
Patricia Jackson,Marquesas,49,SC,6,0,0
Hunter Ellis,Marquesas,33,CA,9,0,1
Sarah Jones,Marquesas,24,CA,12,0,0
Gabriel Cade,Marquesas,23,NC,15,0,1
Gina Crews,Marquesas,28,FL,18,0,0
Rob Mariano,Marquesas,25,MA,21,0,1
John Carroll,Marquesas,36,NE,24,0,1
Zoe Zanidakis,Marquesas,35,ME,27,0,0
Tammy Leitner,Marquesas,29,AZ,30,0,0
Robert DeCanio,Marquesas,38,NY,33,0,1
Sean Rector,Marquesas,30,NY,36,0,1
Paschal English,Marquesas,56,GA,37,1,1
Kathy Vavrick-O'Brien,Marquesas,47,VT,38,0,0
Neleh Dennis,Marquesas,21,UT,39,1,0
Vecepia Towery,Marquesas,36,OR,39,1,0
John Raymond,Thailand,40,LA,3,0,1
Tanya Vance,Thailand,27,TN,6,0,0
Jed Hildebrand,Thailand,25,TX,9,0,1
Ghandia Johnson,Thailand,33,CO,12,0,0
Stephanie Dill,Thailand,29,AR,15,0,0
Robb Zbacnik,Thailand,23,AZ,18,0,1
Shii Ann Huang,Thailand,28,NY,21,0,0
Erin Collins,Thailand,26,TX,24,0,0
Ken Stafford,Thailand,30,NY,27,0,1
Penny Ramsey,Thailand,27,TX,30,0,0
Jake Billingsley,Thailand,60,TX,33,0,1
Ted Rogers Jr.,Thailand,37,NC,36,0,1
Helen Glover,Thailand,47,RI,37,0,0
Jan Gentry,Thailand,53,FL,38,0,0
Clay Jordan,Thailand,46,LA,39,1,1
Brian Heidik,Thailand,34,CA,39,1,1
Ryan Aiken,The Amazon,23,MD,3,0,1
Janet Koth,The Amazon,46,MO,6,0,0
Daniel Lue,The Amazon,26,TX,9,0,1
JoAnna Ward,The Amazon,31,SC,12,0,0
Jeanne Hebert,The Amazon,40,MA,15,0,0
Shawna Mitchell,The Amazon,23,CA,18,0,0
Roger Sexton,The Amazon,56,CA,21,0,1
Dave Johnson,The Amazon,23,CA,24,0,1
Deena Bennett,The Amazon,35,CA,27,0,0
Alex Bell,The Amazon,32,CA,30,0,1
Christy Smith,The Amazon,24,CO,33,0,0
Heidi Strobel,The Amazon,24,MO,36,0,0
Butch Lockley,The Amazon,50,IL,37,0,1
Rob Cesternino,The Amazon,24,NY,38,0,1
Matthew von Ertfelda,The Amazon,33,DC,39,1,1
Jenna Morasca,The Amazon,21,PA,39,1,0
Nicole Delma,Pearl Islands,24,CA,3,0,0
Ryan Shoulders,Pearl Islands,23,TN,6,0,1
Michelle Tesauro,Pearl Islands,22,NJ,15,0,0
Trish Dunn,Pearl Islands,42,MD,18,0,0
Shawn Cohen,Pearl Islands,28,NY,19,0,1
Osten Taylor,Pearl Islands,27,MA,19,1,1
Andrew Savage,Pearl Islands,39,IL,21,0,1
Ryan Opray,Pearl Islands,30,CA,24,0,1
