name,season,age,state,elim,is_censored,sex,region,coast,school,agegroup
Sonja Christopher,Borneo,63,CA,3,0,Female,West,West Coast,Old School,Old
B.B. Andersen,Borneo,64,KS,6,0,Male,Midwest,Not Coast,Old School,Old
Stacey Stillman,Borneo,27,CA,9,0,Female,West,West Coast,Old School,Young
Ramona Gray,Borneo,29,NJ,12,0,Female,Northeast,East Coast,Old School,Young
Dirk Been,Borneo,23,WI,15,0,Male,Midwest,Not Coast,Old School,Young
Joel Klug,Borneo,27,AR,18,0,Male,South,Not Coast,Old School,Young
Gretchen Cordy,Borneo,38,TN,21,0,Female,South,Not Coast,Old School,Middle
Greg Buis,Borneo,24,CO,24,0,Male,West,Not Coast,Old School,Young
Jenna Lewis,Borneo,22,NH,27,0,Female,Northeast,East Coast,Old School,Young
Gervase Peterson,Borneo,30,NJ,30,0,Male,Northeast,East Coast,Old School,Young
Colleen Haskell,Borneo,23,FL,33,0,Female,South,East Coast,Old School,Young
Sean Kenniff,Borneo,30,NY,36,0,Male,Northeast,East Coast,Old School,Young
Susan Hawk,Borneo,38,WI,37,0,Female,Midwest,Not Coast,Old School,Middle
Rudy Boesch,Borneo,72,VA,38,0,Male,South,East Coast,Old School,Old
Kelly Wiglesworth,Borneo,22,NV,39,1,Female,West,Not Coast,Old School,Young
Richard Hatch,Borneo,39,RI,39,1,Male,Northeast,East Coast,Old School,Middle
Debb Eaton,The Australian Outback,45,NH,3,0,Female,Northeast,East Coast,Old School,Middle
Kel Gleason,The Australian Outback,32,TX,6,0,Male,South,Not Coast,Old School,Young
Maralyn Hershey,The Australian Outback,51,VA,9,0,Female,South,East Coast,Old School,Old
Mitchell Olson,The Australian Outback,23,NJ,12,0,Male,Northeast,East Coast,Old School,Young
Kimmi Kappenberg,The Australian Outback,27,NY,15,0,Female,Northeast,East Coast,Old School,Young
Michael Skupin,The Australian Outback,38,MI,17,1,Male,Midwest,Not Coast,Old School,Middle
Jeff Varner,The Australian Outback,34,NY,21,0,Male,Northeast,East Coast,Old School,Young
Alicia Calaway,The Australian Outback,32,NY,24,0,Female,Northeast,East Coast,Old School,Young
Jerri Manthey,The Australian Outback,30,CA,27,0,Female,West,West Coast,Old School,Young
Nick Brown,The Australian Outback,23,WA,30,0,Male,West,West Coast,Old School,Young
Amber Brkich,The Australian Outback,22,PA,33,0,Female,Northeast,Not Coast,Old School,Young
Rodger Bingham,The Australian Outback,53,KY,36,0,Male,South,Not Coast,Old School,Old
Elisabeth Filarski,The Australian Outback,23,MA,39,0,Female,Northeast,East Coast,Old School,Young
Keith Famie,The Australian Outback,40,MI,41,0,Male,Midwest,Not Coast,Old School,Middle
Colby Donaldson,The Australian Outback,26,TX,42,1,Male,South,Not Coast,Old School,Young
Tina Wesson,The Australian Outback,39,TN,42,1,Female,South,Not Coast,Old School,Middle
Diane Ogden,Africa,42,NE,3,0,Female,Midwest,Not Coast,Old School,Middle
Jessie Camacho,Africa,27,FL,6,0,Female,South,East Coast,Old School,Young
Carl Bilancione,Africa,46,FL,9,0,Male,South,East Coast,Old School,Middle
Linda Spencer,Africa,44,MA,12,0,Female,Northeast,East Coast,Old School,Middle
Silas Gaither,Africa,23,TN,15,0,Male,South,Not Coast,Old School,Young
Lindsey Richter,Africa,26,OR,18,0,Female,West,West Coast,Old School,Young
Clarence Black,Africa,24,MI,21,0,Male,Midwest,Not Coast,Old School,Young
Kelly Goldsmith,Africa,22,CA,24,0,Female,West,West Coast,Old School,Young
Brandon Quinton,Africa,25,TX,27,0,Male,South,Not Coast,Old School,Young
Frank Garrison,Africa,43,NY,30,0,Male,Northeast,East Coast,Old School,Middle
Kim Powers,Africa,29,PA,33,0,Female,Northeast,Not Coast,Old School,Young
Teresa Cooper,Africa,42,GA,36,0,Female,South,East Coast,Old School,Middle
Tom Buchanan,Africa,45,VA,37,0,Male,South,East Coast,Old School,Middle
Lex van den Berghe,Africa,38,CA,38,0,Male,West,West Coast,Old School,Middle
Kim Johnson,Africa,56,NY,39,1,Female,Northeast,East Coast,Old School,Old
Ethan Zohn,Africa,27,MA,39,1,Male,Northeast,East Coast,Old School,Young
Peter Harkey,Marquesas,44,MA,3,0,Male,Northeast,East Coast,Old School,Middle
Patricia Jackson,Marquesas,49,SC,6,0,Female,South,East Coast,Old School,Middle
Hunter Ellis,Marquesas,33,CA,9,0,Male,West,West Coast,Old School,Young
Sarah Jones,Marquesas,24,CA,12,0,Female,West,West Coast,Old School,Young
Gabriel Cade,Marquesas,23,NC,15,0,Male,South,East Coast,Old School,Young
Gina Crews,Marquesas,28,FL,18,0,Female,South,East Coast,Old School,Young
Rob Mariano,Marquesas,25,MA,21,0,Male,Northeast,East Coast,Old School,Young
John Carroll,Marquesas,36,NE,24,0,Male,Midwest,Not Coast,Old School,Middle
Zoe Zanidakis,Marquesas,35,ME,27,0,Female,Northeast,East Coast,Old School,Young
Tammy Leitner,Marquesas,29,AZ,30,0,Female,West,Not Coast,Old School,Young
Robert DeCanio,Marquesas,38,NY,33,0,Male,Northeast,East Coast,Old School,Middle
Sean Rector,Marquesas,30,NY,36,0,Male,Northeast,East Coast,Old School,Young
Paschal English,Marquesas,56,GA,37,1,Male,South,East Coast,Old School,Old
Kathy Vavrick-O'Brien,Marquesas,47,VT,38,0,Female,Northeast,Not Coast,Old School,Middle
Neleh Dennis,Marquesas,21,UT,39,1,Female,West,Not Coast,Old School,Young
Vecepia Towery,Marquesas,36,OR,39,1,Female,West,West Coast,Old School,Middle
John Raymond,Thailand,40,LA,3,0,Male,South,Not Coast,Old School,Middle
Tanya Vance,Thailand,27,TN,6,0,Female,South,Not Coast,Old School,Young
Jed Hildebrand,Thailand,25,TX,9,0,Male,South,Not Coast,Old School,Young
Ghandia Johnson,Thailand,33,CO,12,0,Female,West,Not Coast,Old School,Young
Stephanie Dill,Thailand,29,AR,15,0,Female,South,Not Coast,Old School,Young
Robb Zbacnik,Thailand,23,AZ,18,0,Male,West,Not Coast,Old School,Young
Shii Ann Huang,Thailand,28,NY,21,0,Female,Northeast,East Coast,Old School,Young
Erin Collins,Thailand,26,TX,24,0,Female,South,Not Coast,Old School,Young
